id,algoritmo,categoria,codigo_limpo,num_linhas,num_caracteres,num_for,num_while,num_lacos_total,num_if,num_elif_else,num_return,num_break,num_continue,num_atribuicoes,num_atribuicoes_aumentadas,num_subscript,num_chamadas_funcao,num_chamadas_recursivas,num_op_aritmeticos,num_op_relacionais,num_op_logicos,num_literais_numericos,num_literais_string,num_comparacoes_none,profundidade_maxima,uso_antes_definicao,razao_atribuicoes_por_linha,razao_subscript_por_linha
bubble_sort_computacao_v5,bubble_sort,computacao,"n = len(lista)
for i in range(n):
    trocado = False
    for j in range(0, n - i + 1):
        if lista[j] > lista[j + 1]:
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
            trocado = True
    if not trocado:
        break
return lista",10,257,2,0,2,2,0,1,1,0,4,0,6,3,0,5,1,0,5,0,0,3,8,0.4,0.6
bubble_sort_computacao_v6,bubble_sort,computacao,"n = len(lista)
for i in range(n):
    trocado = False
    for j in range(0, n - i - 1):
        if lista[j] > lista[j]:
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
            trocado = True
    if not trocado:
        break
return lista",10,253,2,0,2,2,0,1,1,0,4,0,6,3,0,4,1,0,4,0,0,3,8,0.4,0.6
bubble_sort_controle_v1,bubble_sort,controle,"n = len(lista)
i = 0
while i < n:
    j = 0
    while j < n - i - 1:
        if lista[j] > lista[j + 1]:
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
return lista",8,177,0,2,2,1,0,1,0,0,4,0,6,1,0,5,3,0,6,0,0,3,6,0.5,0.75
bubble_sort_controle_v2,bubble_sort,controle,"n = len(lista)
i = 0
while i > n:
    for j in range(0, n - i - 1):
        if lista[j] > lista[j + 1]:
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
    i += 1
return lista",8,187,1,1,2,1,0,1,0,0,3,1,6,2,0,5,2,0,7,0,0,3,7,0.5,0.75
bubble_sort_controle_v3,bubble_sort,controle,"n = len(lista)
for i in range(n):
    trocado = False
    for j in range(0, n - i - 1):
        if lista[j] > lista[j + 1]:
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
            trocado = True
        break
return lista",9,237,2,0,2,1,0,1,1,0,4,0,6,3,0,5,1,0,5,0,0,3,8,0.444,0.667
bubble_sort_controle_v4,bubble_sort,controle,"n = len(lista)
for i in range(n):
    trocado = False
    for j in range(0, n - i - 1):
        if lista[j] > lista[j + 1]:
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
            trocado = True
    if trocado:
        break
return lista",10,253,2,0,2,2,0,1,1,0,4,0,6,3,0,5,1,0,5,0,0,3,8,0.4,0.6
bubble_sort_controle_v5,bubble_sort,controle,"n = len(lista)
for i in range(n):
    trocado = False
    for j in range(0, n - i - 1):
        if lista[j] > lista[j + 1]:
            trocado = True
            continue
        lista[j], lista[j + 1] = lista[j + 1], lista[j]
    if not trocado:
        break
return lista",11,274,2,0,2,2,0,1,1,1,4,0,6,3,0,5,1,0,5,0,0,3,8,0.364,0.545
bubble_sort_controle_v6,bubble_sort,controle,"n = len(lista)
for i in range(n):
    trocado = False
    for j in range(0, n - i - 1):
        if lista[j] > lista[j + 1]:
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
            trocado = True
    if not trocado and False:
        break
return lista",10,267,2,0,2,2,0,1,1,0,4,0,6,3,0,5,1,1,5,0,0,3,8,0.4,0.6
bubble_sort_dados_v1,bubble_sort,dados,"n = len(lista)
for i in range(n):
    trocado = False
    for j in range(0, n - i):
        if lista[j] > lista[j + 1]:
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
            trocado = True
    if not trocado:
        break
return lista",10,253,2,0,2,2,0,1,1,0,4,0,6,3,0,4,1,0,4,0,0,3,8,0.4,0.6
bubble_sort_dados_v2,bubble_sort,dados,"primeiro = lista[0]
n = len(lista)
for i in range(n):
    trocado = False
    for j in range(0, n - i - 1):
        if lista[j] > lista[j + 1]:
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
            trocado = True
    if not trocado:
        break
return lista",11,277,2,0,2,2,0,1,1,0,5,0,7,3,0,5,1,0,6,0,0,3,9,0.455,0.636
bubble_sort_dados_v3,bubble_sort,dados,"n = len(lista)
for i in range(n):
    trocado = False
    for j in range(0, n - i - 1):
        if lista[j] > lista[j + 1]:
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
            trocado = True
    if not trocado:
        break
return lista",10,257,2,0,2,2,0,1,1,0,4,0,6,3,0,5,1,0,5,0,0,3,8,0.4,0.6
bubble_sort_dados_v4,bubble_sort,dados,"n = len(lista)
for i in range(n):
    trocado = False
    for j in range(0, n - i - 1):
        if lista[n - 1] > lista[j + 1]:
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
            trocado = True
    if not trocado:
        break
return lista",10,261,2,0,2,2,0,1,1,0,4,0,6,3,0,6,1,0,6,0,0,3,8,0.4,0.6
bubble_sort_dados_v5,bubble_sort,dados,"n = len(lista)
for i in range(n):
    trocado = False
    for j in range(0, n - i - 1):
        if lista[j] > lista[j + 1]:
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
            trocado = True
    if not trocado:
        break
lista.append(0)
return lista",11,273,2,0,2,2,0,1,1,0,4,0,6,4,0,5,1,0,6,0,0,3,8,0.364,0.545
bubble_sort_dados_v6,bubble_sort,dados,"penultimo = lista[-2]
n = len(lista)
for i in range(n):
    trocado = False
    for j in range(0, n - i - 1):
        if lista[j] > lista[j + 1]:
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
            trocado = True
    if not trocado:
        break
return lista",11,279,2,0,2,2,0,1,1,0,5,0,7,3,0,5,1,0,6,0,0,3,9,0.455,0.636
bubble_sort_desempenho_v1,bubble_sort,desempenho,"n = len(lista)
for i in range(n):
    for j in range(0, n - i - 1):
        if lista[j] > lista[j + 1]:
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
return lista",6,176,2,0,2,1,0,1,0,0,2,0,6,3,0,5,1,0,5,0,0,3,8,0.333,1.0
bubble_sort_desempenho_v2,bubble_sort,desempenho,"n = len(lista)
for i in range(n):
    trocado = False
    for j in range(0, n - 1):
        if lista[j] > lista[j + 1]:
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
            trocado = True
    if not trocado:
        break
return lista",10,253,2,0,2,2,0,1,1,0,4,0,6,3,0,4,1,0,5,0,0,3,8,0.4,0.6
bubble_sort_desempenho_v3,bubble_sort,desempenho,"n = len(lista)
for i in range(n):
    trocado = False
    if lista == sorted(lista):
        pass
    for j in range(0, n - i - 1):
        if lista[j] > lista[j + 1]:
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
            trocado = True
    if not trocado:
        break
return lista",12,301,2,0,2,3,0,1,1,0,4,0,6,4,0,5,2,0,5,0,0,3,11,0.333,0.5
bubble_sort_desempenho_v4,bubble_sort,desempenho,"n = len(lista)
for i in range(n):
    copia = lista[:]
    trocado = False
    for j in range(0, n - i - 1):
        if lista[j] > lista[j + 1]:
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
            trocado = True
    if not trocado:
        break
return lista",11,278,2,0,2,2,0,1,1,0,5,0,7,3,0,5,1,0,5,0,0,3,9,0.455,0.636
bubble_sort_desempenho_v5,bubble_sort,desempenho,"for i in range(len(lista)):
    trocado = False
    for j in range(0, len(lista) - i - 1):
        if lista[j] > lista[j + 1]:
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
            trocado = True
        _ = len(lista)
    if not trocado:
        break
return lista",10,283,2,0,2,2,0,1,1,0,4,0,6,5,0,5,1,0,5,0,0,3,11,0.4,0.6
bubble_sort_desempenho_v6,bubble_sort,desempenho,"n = len(lista)
for i in range(n):
    trocado = False
    comparacoes = 0
    for j in range(0, n - i - 1):
        for _ in range(n):
            comparacoes += 1
        if lista[j] > lista[j + 1]:
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
            trocado = True
    if not trocado:
        break
return lista",13,333,3,0,3,2,0,1,1,0,5,1,6,4,0,5,1,0,7,0,0,3,9,0.462,0.462
bubble_sort_excesso_v1,bubble_sort,excesso,"n = len(lista)
for i in range(n):
    trocado = False
    for j in range(0, n - i - 1):
        if lista[j] > lista[j + 1]:
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
            trocado = True
        if lista[j] < lista[j + 1]:
            pass
    if not trocado:
        break
return lista",12,310,2,0,2,3,0,1,1,0,4,0,8,3,0,6,2,0,6,0,0,3,8,0.333,0.667
bubble_sort_excesso_v2,bubble_sort,excesso,"n = len(lista)
for i in range(n):
    trocado = False
    for j in range(0, n - i - 1):
        diferenca = lista[j] - lista[j + 1]
        if lista[j] > lista[j + 1]:
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
            trocado = True
    if not trocado:
        break
return lista",11,301,2,0,2,2,0,1,1,0,5,0,8,3,0,7,1,0,6,0,0,3,10,0.455,0.727
bubble_sort_excesso_v3,bubble_sort,excesso,"n = len(lista)
for i in range(n):
    trocado = False
    for j in range(0, n - i - 1):
        if lista[j] > lista[j + 1]:
            if lista[j] > lista[j + 1]:
                lista[j], lista[j + 1] = lista[j + 1], lista[j]
                trocado = True
    if not trocado:
        break
return lista",11,305,2,0,2,3,0,1,1,0,4,0,8,3,0,6,2,0,6,0,0,4,10,0.364,0.727
bubble_sort_excesso_v4,bubble_sort,excesso,"n = len(lista)
for i in range(n):
    trocado = False
    for j in range(0, n - i - 1):
        if lista[j] > lista[j + 1]:
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
            trocado = True
        lista = lista
    if not trocado:
        break
return lista",11,279,2,0,2,2,0,1,1,0,5,0,6,3,0,5,1,0,5,0,0,3,8,0.455,0.545
bubble_sort_excesso_v5,bubble_sort,excesso,"n = len(lista)
for i in range(n):
    trocado = False
    for j in range(0, n - i - 1):
        if lista[j] > lista[j + 1]:
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
            trocado = True
    if not trocado:
        for _ in range(0):
            pass
        break
return lista",12,301,3,0,3,2,0,1,1,0,4,0,6,4,0,5,1,0,6,0,0,3,9,0.333,0.5
bubble_sort_excesso_v6,bubble_sort,excesso,"n = len(lista)
for i in range(n):
    trocado = False
    for j in range(0, n - i - 1):
        if lista[j] > lista[j + 1]:
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
            trocado = True
        if False:
            lista[j] = lista[j]
    if not trocado:
        break
return lista",12,307,2,0,2,3,0,1,1,0,5,0,8,3,0,5,1,0,5,0,0,3,8,0.417,0.667
bubble_sort_inicializacao_v1,bubble_sort,inicializacao,"n = len(lista)
for i in range(n):
    for j in range(0, n - i - 1):
        if lista[j] > lista[j + 1]:
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
            trocado = True
    if not trocado:
        break
return lista",9,237,2,0,2,2,0,1,1,0,3,0,6,3,0,5,1,0,5,0,0,3,8,0.333,0.667
bubble_sort_inicializacao_v2,bubble_sort,inicializacao,"n = len(lista)
for i in range(n):
    trocado = None
    for j in range(0, n - i - 1):
        if lista[j] > lista[j + 1]:
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
    if not trocado:
        break
return lista",9,229,2,0,2,2,0,1,1,0,3,0,6,3,0,5,1,0,5,0,0,3,8,0.333,0.667
bubble_sort_inicializacao_v3,bubble_sort,inicializacao,"n = str(len(lista))
for i in range(n):
    trocado = False
    for j in range(0, n - i - 1):
        if lista[j] > lista[j + 1]:
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
            trocado = True
    if not trocado:
        break
return lista",10,262,2,0,2,2,0,1,1,0,4,0,6,4,0,5,1,0,5,0,0,3,9,0.4,0.6
bubble_sort_inicializacao_v4,bubble_sort,inicializacao,"n = len(lista)
for i in range(n):
    for j in range(0, n - i - 1):
        trocado = False
        if lista[j] > lista[j + 1]:
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
            trocado = True
    if not trocado:
        break
return lista",10,261,2,0,2,2,0,1,1,0,4,0,6,3,0,5,1,0,5,0,0,3,8,0.4,0.6
bubble_sort_inicializacao_v5,bubble_sort,inicializacao,"n = len(lista)
for i in range(n):
    houve_troca = False
    for j in range(0, n - i - 1):
        if lista[j] > lista[j + 1]:
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
            trocado = True
    if not trocado:
        break
return lista",10,261,2,0,2,2,0,1,1,0,4,0,6,3,0,5,1,0,5,0,0,3,8,0.4,0.6
bubble_sort_inicializacao_v6,bubble_sort,inicializacao,"n = len(lista)
for i in range(n):
    for j in range(0, n - i - 1):
        if lista[j] > lista[j + 1]:
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
            trocado = True
    trocado = False
    if not trocado:
        break
return lista",10,257,2,0,2,2,0,1,1,0,4,0,6,3,0,5,1,0,5,0,0,3,8,0.4,0.6
busca_binaria_comissao_v1,busca_binaria,comissao,"for i in range(len(lista)):
    if lista[i] == alvo:
        return i
return -1",4,79,1,0,1,1,0,2,0,0,0,0,1,2,0,0,1,0,1,0,0,2,5,0.0,0.25
busca_binaria_comissao_v2,busca_binaria,comissao,"esquerda, direita = 0, len(lista) - 1
while esquerda <= direita:
    meio = (esquerda + direita) // 2
    if lista[meio] == alvo:
        return True
    elif lista[meio] < alvo:
        esquerda = meio + 1
    else:
        direita = meio - 1
return False",10,256,0,1,1,2,2,2,0,0,4,0,2,1,0,5,3,0,5,0,0,3,6,0.4,0.2
busca_binaria_comissao_v3,busca_binaria,comissao,"esquerda, direita = 0, len(lista) - 1
while esquerda <= direita:
    meio = (esquerda + direita) // 2
    if lista[meio] == alvo:
        return lista[meio]
    elif lista[meio] < alvo:
        esquerda = meio + 1
    else:
        direita = meio - 1
return -1",10,260,0,1,1,2,2,2,0,0,4,0,3,1,0,5,3,0,6,0,0,3,7,0.4,0.3
busca_binaria_comissao_v4,busca_binaria,comissao,"esquerda, direita = 0, len(lista) - 1
meio = (esquerda + direita) // 2
return meio",3,82,0,0,0,0,0,1,0,0,2,0,0,1,0,3,0,0,3,0,0,0,2,0.667,0.0
busca_binaria_comissao_v5,busca_binaria,comissao,"esquerda, direita = 0, len(lista) - 1
resultado = -1
while esquerda <= direita:
    meio = (esquerda + direita) // 2
    if lista[meio] >= alvo:
        resultado = meio
        direita = meio - 1
    else:
        esquerda = meio + 1
return resultado",10,251,0,1,1,1,1,1,0,0,6,0,1,1,0,5,2,0,6,0,0,2,4,0.6,0.1
busca_binaria_comissao_v6,busca_binaria,comissao,"contador = 0
for item in lista:
    if item < alvo:
        contador += 1
return contador",5,89,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,2,0,0,2,2,0.4,0.0
busca_binaria_computacao_v1,busca_binaria,computacao,"esquerda = 0
direita = len(lista) - 1
while esquerda <= direita:
    meio = esquerda + direita // 2
    if lista[meio] == alvo:
        return meio
    elif lista[meio] < alvo:
        esquerda = meio + 1
    else:
        direita = meio - 1
return -1",11,251,0,1,1,2,2,2,0,0,5,0,2,1,0,5,3,0,6,0,0,3,6,0.455,0.182
busca_binaria_computacao_v2,busca_binaria,computacao,"esquerda = 0
direita = len(lista) - 1
while esquerda <= direita:
    meio = (esquerda + direita) // 2
    if lista[meio] == alvo:
        return meio
    elif lista[meio] < alvo:
        direita = meio + 1
    else:
        esquerda = meio - 1
return -1",11,253,0,1,1,2,2,2,0,0,5,0,2,1,0,5,3,0,6,0,0,3,6,0.455,0.182
busca_binaria_computacao_v3,busca_binaria,computacao,"esquerda = 0
direita = len(lista) - 1
while esquerda <= direita:
    meio = (esquerda + direita) // 2
    if lista[meio] == alvo:
        return meio
    elif lista[meio] > alvo:
        esquerda = meio + 1
    else:
        direita = meio - 1
return -1",11,253,0,1,1,2,2,2,0,0,5,0,2,1,0,5,3,0,6,0,0,3,6,0.455,0.182
busca_binaria_computacao_v4,busca_binaria,computacao,"esquerda = 0
direita = len(lista) - 1
while esquerda <= direita:
    meio = (esquerda + direita) // 2
    if lista[meio] == alvo:
        return esquerda
    elif lista[meio] < alvo:
        esquerda = meio + 1
    else:
        direita = meio - 1
return -1",11,257,0,1,1,2,2,2,0,0,5,0,2,1,0,5,3,0,6,0,0,3,6,0.455,0.182
busca_binaria_computacao_v5,busca_binaria,computacao,"esquerda = 0
direita = len(lista) - 1
while esquerda <= direita:
    meio = (esquerda + direita) // 2
    if lista[meio] == alvo:
        return meio
    elif lista[meio] < alvo:
        esquerda = meio
    else:
        direita = meio - 1
return -1",11,249,0,1,1,2,2,2,0,0,5,0,2,1,0,4,3,0,5,0,0,3,6,0.455,0.182
busca_binaria_computacao_v6,busca_binaria,computacao,"esquerda = 0
direita = len(lista) - 1
while esquerda <= direita:
    meio = (esquerda + direita * 2) // 3
    if lista[meio] == alvo:
        return meio
    elif lista[meio] < alvo:
        esquerda = meio + 1
    else:
        direita = meio - 1
return -1",11,257,0,1,1,2,2,2,0,0,5,0,2,1,0,6,3,0,7,0,0,3,6,0.455,0.182
busca_binaria_controle_v1,busca_binaria,controle,"esquerda = 0
direita = len(lista) - 1
while esquerda >= direita:
    meio = (esquerda + direita) // 2
    if lista[meio] == alvo:
        return meio
    elif lista[meio] < alvo:
        esquerda = meio + 1
    else:
        direita = meio - 1
return -1",11,253,0,1,1,2,2,2,0,0,5,0,2,1,0,5,3,0,6,0,0,3,6,0.455,0.182
busca_binaria_controle_v2,busca_binaria,controle,"esquerda = 0
direita = len(lista) - 1
while esquerda <= direita:
    meio = (esquerda + direita) // 2
    if lista[meio] < alvo:
        esquerda = meio + 1
    elif lista[meio] > alvo:
        direita = meio - 1
    else:
        esquerda = meio + 1
return -1",11,260,0,1,1,2,2,1,0,0,6,0,2,1,0,6,3,0,7,0,0,3,6,0.545,0.182
busca_binaria_controle_v3,busca_binaria,controle,"esquerda = 0
direita = len(lista) - 1
while esquerda <= direita:
    meio = (esquerda + direita) // 2
    if lista[meio] == alvo:
        return meio
    break
return -1",8,169,0,1,1,1,0,2,1,0,3,0,1,1,0,3,2,0,4,0,0,2,4,0.375,0.125
busca_binaria_controle_v4,busca_binaria,controle,"esquerda = 0
direita = len(lista) - 1
while esquerda <= direita:
    meio = (esquerda + direita) // 2
    if lista[meio] == alvo:
        return meio
    elif lista[meio] < alvo:
        continue
    else:
        direita = meio - 1
return -1",11,242,0,1,1,2,2,2,0,1,4,0,2,1,0,4,3,0,5,0,0,3,6,0.364,0.182
busca_binaria_controle_v5,busca_binaria,controle,"esquerda = 0
direita = len(lista) - 1
while esquerda <= direita and esquerda == 0:
    meio = (esquerda + direita) // 2
    if lista[meio] == alvo:
        return meio
    elif lista[meio] < alvo:
        esquerda = meio + 1
    else:
        direita = meio - 1
return -1",11,271,0,1,1,2,2,2,0,0,5,0,2,1,0,5,4,1,7,0,0,3,6,0.455,0.182
busca_binaria_controle_v6,busca_binaria,controle,"esquerda = 0
direita = len(lista) - 1
while esquerda <= direita:
    meio = (esquerda + direita) // 2
    if lista[meio] < alvo:
        esquerda = meio + 1
    elif lista[meio] > alvo:
        direita = meio - 1
    elif False:
        return meio
return -1",11,258,0,1,1,3,2,2,0,0,5,0,2,1,0,5,3,0,6,0,0,4,6,0.455,0.182
busca_binaria_dados_v1,busca_binaria,dados,"esquerda = 0
direita = len(lista) - 1
while esquerda <= direita:
    meio = (esquerda + direita) // 2
    if lista[meio] == alvo:
        return meio
    elif lista[meio] < alvo:
        esquerda = meio + 1
    else:
        direita = meio - 1
return -1",11,253,0,1,1,2,2,2,0,0,5,0,2,1,0,5,3,0,6,0,0,3,6,0.455,0.182
busca_binaria_dados_v2,busca_binaria,dados,"esquerda = 0
direita = len(lista) - 1
while esquerda <= direita + 1:
    meio = (esquerda + direita) // 2
    if lista[meio] == alvo:
        return meio
    elif lista[meio] < alvo:
        esquerda = meio + 1
    else:
        direita = meio - 1
return -1",11,257,0,1,1,2,2,2,0,0,5,0,2,1,0,6,3,0,7,0,0,3,6,0.455,0.182
busca_binaria_dados_v3,busca_binaria,dados,"primeiro = lista[0]
esquerda = 0
direita = len(lista) - 1
while esquerda <= direita:
    meio = (esquerda + direita) // 2
    if lista[meio] == alvo:
        return meio
    elif lista[meio] < alvo:
        esquerda = meio + 1
    else:
        direita = meio - 1
return -1",12,273,0,1,1,2,2,2,0,0,6,0,3,1,0,5,3,0,7,0,0,3,7,0.5,0.25
busca_binaria_dados_v4,busca_binaria,dados,"esquerda = 0
direita = len(lista) - 1
while esquerda <= direita:
    meio = (esquerda + direita) // 2
    if str(lista[meio]) == str(alvo):
        return meio
    elif lista[meio] < alvo:
        esquerda = meio + 1
    else:
        direita = meio - 1
return -1",11,263,0,1,1,2,2,2,0,0,5,0,2,3,0,5,3,0,6,0,0,3,8,0.455,0.182
busca_binaria_dados_v5,busca_binaria,dados,"if len(lista) > 0 and lista[len(lista) - 1 + 1 - 1] == alvo:
    pass
esquerda = 0
direita = len(lista) - 1
while esquerda <= direita:
    meio = (esquerda + direita) // 2
    if lista[meio] == alvo:
        return meio
    elif lista[meio] < alvo:
        esquerda = meio + 1
    else:
        direita = meio - 1
return -1",13,323,0,1,1,3,2,2,0,0,5,0,3,3,0,8,5,1,10,0,0,3,12,0.385,0.231
busca_binaria_dados_v6,busca_binaria,dados,"esquerda = 0
direita = len(lista)
while esquerda <= direita:
    meio = (esquerda + direita) // 2
    if lista[meio] == alvo:
        return meio
    elif lista[meio] < alvo:
        esquerda = meio + 1
    else:
        direita = meio - 1
return -1",11,249,0,1,1,2,2,2,0,0,5,0,2,1,0,4,3,0,5,0,0,3,6,0.455,0.182
busca_binaria_desempenho_v1,busca_binaria,desempenho,"def busca(esquerda, direita):
    if esquerda > direita:
        return -1
    meio = (esquerda + direita) // 2
    if lista[meio] == alvo:
        return meio
    elif lista[meio] < alvo:
        return busca(meio + 1, direita)
    else:
        return busca(esquerda, meio - 1)
return busca(0, len(lista) - 1)",11,311,0,0,0,3,2,5,0,0,1,0,2,4,3,5,3,0,6,0,0,2,3,0.091,0.182
busca_binaria_desempenho_v2,busca_binaria,desempenho,"esquerda = 0
direita = len(lista) - 1
while esquerda <= direita:
    if alvo in lista:
        pass
    meio = (esquerda + direita) // 2
    if lista[meio] == alvo:
        return meio
    elif lista[meio] < alvo:
        esquerda = meio + 1
    else:
        direita = meio - 1
return -1",13,288,0,1,1,3,2,2,0,0,5,0,2,1,0,5,4,0,6,0,0,3,8,0.385,0.154
busca_binaria_desempenho_v3,busca_binaria,desempenho,"esquerda = 0
direita = len(lista) - 1
while esquerda <= direita:
    lista_ordenada = sorted(lista)
    meio = (esquerda + direita) // 2
    if lista[meio] == alvo:
        return meio
    elif lista[meio] < alvo:
        esquerda = meio + 1
    else:
        direita = meio - 1
return -1",12,288,0,1,1,2,2,2,0,0,6,0,2,2,0,5,3,0,6,0,0,3,8,0.5,0.167
busca_binaria_desempenho_v4,busca_binaria,desempenho,"esquerda = 0
direita = len(lista) - 1
while esquerda <= direita:
    copia = lista[:]
    meio = (esquerda + direita) // 2
    if lista[meio] == alvo:
        return meio
    elif lista[meio] < alvo:
        esquerda = meio + 1
    else:
        direita = meio - 1
return -1",12,274,0,1,1,2,2,2,0,0,6,0,3,1,0,5,3,0,6,0,0,3,7,0.5,0.25
busca_binaria_desempenho_v5,busca_binaria,desempenho,"esquerda = 0
direita = len(lista) - 1
while esquerda <= direita:
    for _ in range(len(lista)):
        pass
    meio = (esquerda + direita) // 2
    if lista[meio] == alvo:
        return meio
    elif lista[meio] < alvo:
        esquerda = meio + 1
    else:
        direita = meio - 1
return -1",13,298,1,1,2,2,2,2,0,0,5,0,2,3,0,5,3,0,6,0,0,3,9,0.385,0.154
busca_binaria_desempenho_v6,busca_binaria,desempenho,"esquerda = 0
direita = len(lista) - 1
while esquerda <= direita:
    meio = (esquerda + direita) // 2
    _ = len(lista)
    _ = len(lista)
    if lista[meio] == alvo:
        return meio
    elif lista[meio] < alvo:
        esquerda = meio + 1
    else:
        direita = meio - 1
return -1",13,291,0,1,1,2,2,2,0,0,7,0,2,3,0,5,3,0,6,0,0,3,10,0.538,0.154
